model;cat;index;diff
FRA;4;10;3,01081155940828
FRA;4;11;2,86129024568047
FRA;4;12;3,58274906059172
FRA;4;13;3,47662480248521
FRA;4;14;3,64553015887574
FRA;4;15;3,58754197130177
FRA;4;16;3,3584596995858
FRA;4;17;3,15284711313609
FRA;4;18;3,64306346378698
FRA;4;19;3,60011529248521
FRA;4;20;3,64758475142012
FRA;4;21;3,66780569544379
FRA;4;22;3,44123256159763
FRA;4;23;2,72932817408284
FRA;4;24;3,2050104052071
FRA;4;25;3,17907257011834
FRA;4;26;2,84139966467456
FRA;4;27;2,66752465378698
FRA;4;28;2,87398332769231
FRA;4;29;2,79189321372781
FRA;4;30;3,07757413142012
FRA;4;31;3,84655130005917
FRA;4;32;2,87380150674556
FRA;4;33;2,72349463911243
FRA;4;34;2,74864866739645
FRA;4;35;2,81263830976331
FRA;4;36;2,76685355242604
FRA;4;37;2,69686288822485
FRA;5;1;3,79462819207101
FRA;5;2;3,78218345650888
FRA;5;3;3,86576907757396
FRA;5;4;3,87416221881657
FRA;5;5;3,51256870461538
FRA;5;6;3,79635764011834
FRA;5;7;3,84611527650888
FRA;5;8;3,76321480491124
FRA;5;9;3,80512969816568
FRA;5;10;3,43988291781065
FRA;5;11;3,26049910698225
FRA;5;12;3,9518095747929
FRA;5;13;3,83683027745562
FRA;5;14;3,95301073952663
FRA;5;15;3,80064943680473
FRA;5;16;3,7708751535503
FRA;5;17;3,49253975970414
FRA;5;18;4,01028091372781
FRA;5;19;3,94738392899408
FRA;5;20;4,03994910384615
FRA;5;21;3,93381498994083
FRA;5;22;3,78908289106509
FRA;5;23;3,21342762798817
FRA;5;24;3,60996714585799
FRA;5;25;3,46193479816568
FRA;5;26;3,33597411656805
FRA;5;27;3,08183652011834
FRA;5;28;3,26059052751479
FRA;5;29;3,16468515994083
FRA;5;30;3,38558045804734
FRA;5;31;3,87784438029586
FRA;5;32;3,31145273934911
FRA;5;33;3,17713410153846
FRA;5;34;3,18792424751479
FRA;5;35;3,19090503443787
FRA;5;36;3,14909787331361
FRA;5;37;3,10797227846154
FRA;6;1;3,51934922792899
FRA;6;2;3,2097526287574
FRA;6;3;3,30211758621302
FRA;6;4;3,40487584727811
FRA;6;5;3,79635764011834
FRA;6;6;2,7478928312426
FRA;6;7;3,35353210751479
FRA;6;8;3,26521093514793
FRA;6;9;3,51329493289941
FRA;6;10;2,82313918532544
FRA;6;11;2,58203431313609
FRA;6;12;3,47895386698225
FRA;6;13;3,35916513266272
FRA;6;14;3,51010659130178
FRA;6;15;3,50695139029586
FRA;6;16;3,19399554337278
FRA;6;17;2,94168496408284
FRA;6;18;3,56339806059172
FRA;6;19;3,39846707857988
FRA;6;20;3,57915343715976
FRA;6;21;3,53281294011834
FRA;6;22;3,3116679252071
FRA;6;23;2,4791878739645
FRA;6;24;3,04403433088757
FRA;6;25;3,03583148029586
FRA;6;26;2,67598951159763
FRA;6;27;2,47359976402367
FRA;6;28;2,58253696514793
FRA;6;29;2,54519886775148
FRA;6;30;2,92201735568047
FRA;6;31;3,66544182171598
FRA;6;32;2,7339621335503
FRA;6;33;2,4748519660355
FRA;6;34;2,44580917242604
FRA;6;35;2,64812637946746
FRA;6;36;2,51727005952663
FRA;6;37;2,46671671005917
FRA;7;1;3,54646995869822
FRA;7;2;3,3450362012426
FRA;7;3;3,40210096573964
FRA;7;4;3,44947777011834
FRA;7;5;3,84611527650888
FRA;7;6;3,35353210751479
FRA;7;7;2,88348844047337
FRA;7;8;3,28446002201183
FRA;7;9;3,54123438467456
FRA;7;10;2,88367930816568
FRA;7;11;2,7389815112426
FRA;7;12;3,50446828011834
FRA;7;13;3,36633837881657
FRA;7;14;3,56871024905325
FRA;7;15;3,56265221360947
FRA;7;16;3,26949861023669
FRA;7;17;3,06933248792899
FRA;7;18;3,66094299420118
FRA;7;19;3,58766819733728
FRA;7;20;3,62126577502959
FRA;7;21;3,59217621372781
FRA;7;22;3,33546903455621
FRA;7;23;2,57579719189349
FRA;7;24;3,15638283183432
FRA;7;25;3,08958442526627
FRA;7;26;2,72842144650888
FRA;7;27;2,54328416136095
FRA;7;28;2,75438555508876
FRA;7;29;2,61261319455621
FRA;7;30;2,91074642295858
FRA;7;31;3,75801810461539
FRA;7;32;2,79961202940828
